title,company,location,job_type,salary,job_url,posted_date,work_mode,level,domain
Junior Content Writer,Haypp Group,Arlington,Internship,Not Disclosed,https://www.linkedin.com/jobs/view/junior-content-writer-at-haypp-group-4390748116,2026-03-27T00:00:00.000Z,On-site,Junior,Marketing
Asset Protection Associate - Wheaton Plaza,Jcpenney,Silver Spring,Full-time,Not Disclosed,https://www.whatjobs.com/jobs/asset-protection-associate-wheaton/silver-spring-maryland?id=2585044637,2026-03-27T00:00:00.000Z,On-site,Junior,General
Electrical Utility Maintenance Tech-At,"Nri, Inc",Washington,Full-time,22,https://jobs.nri-staffing.com/jb/Electrical-Utility-Maintenance-Tech-AT-Jobs-in-District-of-Columbia-District-Of-Columbia/13956699,2026-03-27T00:00:00.000Z,On-site,Not Specified,Data Science & AI
Director Of Population Health,Chamber Cardio,Washington,Full-time,Not Disclosed,https://www.indeed.com/viewjob?jk=0413fd15feca3220,Not Available,On-site,Senior,General
Prek3–Prek4 Lead Teacher: Inspire Early Growth,Friendship Public Charter School,Washington,Full-time,50K–70K a year,https://www.jobleads.com/us/job/prek3-prek4-lead-teacher-inspire-early-growth--washington--e2a14dfe3f85e1040169a0a8ca9f41260,2026-03-25T00:00:00.000Z,On-site,Senior,Marketing
Radiology Ultrasound General (Travel Assignment),Getmed Staffing,Alexandria,Full-time and Contractor,3224,https://www.getmedstaffing.com/jobs/36269862,2026-03-27T00:00:00.000Z,On-site,Not Specified,General
Summer Camp General Counselor-Youth Teens And Family Camps,Arlington County Parks And Recreation,Arlington,Part-time,Not Disclosed,https://jobboard.arlingtonva.us/job/cfwz5v/summer-camp-general-counselor-youth-teens-and-family-camps/arlington/va,2026-03-19T00:00:00.000Z,On-site,Not Specified,General
Human Resources And Management Services Management Analyst (Contract Contingent - Location Negoti...,Prosidian Consulting,Washington,Full-time,Not Disclosed,"https://www.ziprecruiter.com/c/ProSidian-Consulting/Job/Human-Resources-and-Management-Services-Management-Analyst-(Contract-Contingent-Location-Negoti.../-in-Washington,DC?jid=d500781c7ea6a14c",Not Available,On-site,Not Specified,General
Storage And Backup Engineer - 1 Opening,Abbtech Professional Resources,Washington,Full-time,90K–120K a year,https://www.theladders.com/job/storage-and-backup-engineer-1-opening-abbtechprofessionaesinclresourc-washington-dc_83991913,Not Available,On-site,Not Specified,General
"Senior Tax Associate, Corporate, Income Franchise | Mclean, Va, Usa",Capital One Financial Corporation,Mclean,Full-time,Not Disclosed,https://www.efinancialcareers.com/jobs-USA-VA-McLean-Senior_Tax_Associate_Corporate_Income_Franchise.id24029091,2026-03-26T00:00:00.000Z,On-site,Senior,General
Fire/Security Alarm Installation Technician,"Wachter, Inc.",Alexandria,Full-time,Not Disclosed,https://www.indeed.com/viewjob?jk=e8143515be9bdedd&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-13T00:00:00.000Z,On-site,Not Specified,General
Junior Ics Threat Intelligence Analyst,Peraton,Arlington,Full-time,Not Disclosed,https://www.jobleads.com/us/job/junior-ics-threat-intelligence-analyst--arlington--eed8f8ff71314cf30777908ceb4bc1d93?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-22T00:00:00.000Z,On-site,Junior,HR & People
Complex Director Of Engineering,Washington Marriott Capitol Hill,Washington,Full-time,Not Disclosed,https://lensa.com/job-v1/washington-marriott-capitol-hill/washington-dc/director-of-engineering/ff89c6626439f411213c0fbfd828e836?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Available,On-site,Senior,General
Sales Associate - Pt,General Nutrition Centers,Bailey'S Crossroads,Part-time,Not Disclosed,"https://www.ziprecruiter.com/c/GNC/Job/Sales-Associate-PT/-in-Falls-Church,VA?jid=41eefa06d2e5f754&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-03-23T00:00:00.000Z,On-site,Junior,Sales
Adjunct Professor Architecture Engineering Technology Cad,University Of The District Of Columbia,Washington,Part-time,Not Disclosed,https://udc.applicantstack.com/x/detail/a2hbyxhxqpg0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Available,On-site,Not Specified,General
Clinical Liaison,Inova Specialty Hospital,Alexandria,Full-time,Not Disclosed,https://www.indeed.com/viewjob?jk=885d83186ff9b897&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-11T00:00:00.000Z,On-site,Not Specified,Data Science & AI
Dedicated Aide,Staffvengers,Greater Landover,Full-time,Not Disclosed,"https://www.glassdoor.com/job-listing/dedicated-aide-staffvengers-JV_IC1165886_KO0,14_KE15,27.htm?jl=1010061224448&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-03-10T00:00:00.000Z,On-site,Not Specified,Data Science & AI
"Central Access Associate - Fredericksburg Clinic - Job Location: Fredericksburg, Va",Rappahannock Area Community Services Board,Alexandria,Full-time,Not Disclosed,"https://www.ziprecruiter.com/c/Rappahannock-Area-Community-Services-Board/Job/Central-Access-Associate-Fredericksburg-Clinic-Job-Location:-Fredericksburg,-VA/-in-Alexandria,VA?jid=22c5e672e80b7f89&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-03-26T00:00:00.000Z,On-site,Junior,General
All-Source Analyst Senior Jobs,Venatore,Fort Belvoir,Full-time,Not Disclosed,https://www.clearancejobs.com/jobs/8820755/all-source-analyst-senior?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-26T00:00:00.000Z,On-site,Senior,General
Delivery Driver - No Cdl (Commercial Driver'S License) Needed,Doordash,Colesville,Full-time and Part-time,Not Disclosed,https://jobs.womenforhire.com/job/usa/colesville-md/drive-with-doordash-no-cdl-license-needed-160105/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-24T00:00:00.000Z,On-site,Not Specified,General
Respiratory Therapist - Acute Care,Select Specialty,Alexandria,Full-time and Contractor,Not Disclosed,https://www.adzuna.com/details/5680023288,2026-03-27T00:00:00.000Z,On-site,Not Specified,General
Customer Support Specialist,Confidential,Burke,Full-time,Not Disclosed,"https://www.glassdoor.com/job-listing/customer-support-specialist-confidential-JV_IC1130347_KO0,27_KE28,40.htm?jl=1010075964657",2026-03-24T00:00:00.000Z,On-site,Not Specified,General
U.S. Navy,U.S. Navy,Chesapeake Beach,Full-time,Not Disclosed,https://www.careersingovernment.com/job/981153/aviation-operations-support-enlisted/,2026-03-25T00:00:00.000Z,On-site,Not Specified,General
Lpn - Schools,American Medical Staffing,Brentwood,Full-time,1275,https://americanmedicalstaffing.com/gfj/lpn-schools-brentwood-md-690dff82e3761529b468fa88,2026-03-25T00:00:00.000Z,On-site,Not Specified,General
"Data Architect, Sme",Peraton,Herndon,Full-time,146K–234K a year,https://www.careers.peraton.com/jobs/data-architect-sme-herndon-virginia-165024-jobs--information-technology--,2026-03-25T00:00:00.000Z,On-site,Not Specified,General
Email Operations Intern,Leidos,Herndon,Internship,Not Disclosed,https://careers.leidos.com/jobs/17537517-email-operations-intern,2026-03-26T00:00:00.000Z,On-site,Junior,Data Science & AI
"Travel - Step Down - Nurse Job - $1,966/Wk - $2,196/Wk",Aya Healthcare,Alexandria,Part-time,Not Disclosed,https://www.linkedin.com/jobs/view/travel-step-down-nurse-job-%241-966-wk-%242-196-wk-at-aya-healthcare-4385801152,2026-03-14T00:00:00.000Z,On-site,Not Specified,General
"Shift Supervisor - Store# 02769, Amyclae",Starbucks Coffee Company,Bel Air,Full-time,Not Disclosed,https://apply.starbucks.com/careers/job/481077313808-shift-supervisor-store-02769-amyclae-1200-agora-dr-bel-air-maryland-united-states?domain=starbucks.com,2026-03-19T00:00:00.000Z,On-site,Not Specified,General
"Border Patrol Agent – Earn Up To $30,000 In Recruitment Incentives",U.S. Customs And Border Protection,Bladensburg,Full-time,Not Disclosed,https://talents.vaia.com/companies/u-s-customs-and-border-protection/border-patrol-agent-earn-up-to-30000-in-recruitment-incentives-26812609/,Not Available,On-site,Not Specified,HR & People
Pt Night Crew Clerk - Grocery,Giant Food,Dale City,Part-time,16.25–19.50 an hour,"https://www.glassdoor.com/job-listing/pt-night-crew-clerk-grocery-giant-food-JV_IC1158514_KO0,27_KE28,38.htm?jl=1009804449651",2026-03-08T00:00:00.000Z,On-site,Not Specified,General
