id,title,clean_title,company,location,job_type,work_mode,salary,job_url,posted_date,level,domain,created_at
1,Sales Trainee,Sales Trainee,Pepsico,Patna,Full-time,On-site,Not Disclosed,https://www.pepsicojobs.com/jobs/439932?lang=en-us,2026-04-07T21:00:00.000Z,Junior,General,2026-04-08 16:19:09
2,Sector Specialist,Sector Specialist,Morningstar,Navi Mumbai,Full-time,On-site,Not Disclosed,https://careers.morningstar.com/us/en/job/REQ-056159/Sector-Specialist,2026-04-05T00:00:00.000Z,Not Specified,General,2026-04-08 16:19:09
3,Senior Principal Software Engineer,Software Engineer,Lilly,Hyderabad,Full-time,On-site,Not Disclosed,https://careers.lilly.com/us/en/job/R-102759/Senior-Principal-Software-Engineer,2026-03-31T00:00:00.000Z,Senior,Tech,2026-04-08 16:19:09
4,Sr. Full Stack Developer,Full Stack Developer,Align Technology,Pune,Full-time,On-site,Not Disclosed,https://jobs.aligntech.com/en/postings/ab384f0f-1cc6-44ce-b9d2-583fc117f20f,2026-04-07T00:00:00.000Z,Senior,Tech,2026-04-08 16:19:09
5,Maintenance Engineer,Maintenance Engineer,Exxonmobil,"Karnataka, India",Full-time,On-site,Not Disclosed,https://jobs.exxonmobil.com/ExxonMobil/job/BMC-for-India-BLP-Maintenance-Engineer-KA/1366491500/,2026-03-21T00:00:00.000Z,Not Specified,General,2026-04-08 16:19:09
6,Senior Machine Learning Engineer,Machine Learning Engineer,Mastercard,Pune,Full-time,On-site,Not Disclosed,https://careers.mastercard.com/us/en/job/R-273370/Senior-Machine-Learning-Engineer,2026-03-27T00:00:00.000Z,Senior,Data,2026-04-08 16:19:09
7,"Senior Advisor, Merchandising","Senior Advisor, Merchandising",Organization_Subtype-3-43,Gurugram,Full-time,On-site,Not Disclosed,https://jobs.dell.com/en/job/gurgaon/senior-advisor-merchandising/375/93720013520,2026-04-08T00:00:00.000Z,Senior,General,2026-04-08 16:19:09
8,Territory Business Manager - NovaNxt - Raipur,Territory Business Manager - Novanxt - Raipur,Abbott Laboratories,Raipur,Full-time,On-site,Not Disclosed,https://www.jobs.abbott/us/en/job/31146337/Territory-Business-Manager-NovaNxt-Raipur,2026-04-05T00:00:00.000Z,Senior,General,2026-04-08 16:19:09
9,Digital Strategist,Digital Strategist,Adobe,Bengaluru,Full-time,On-site,Not Disclosed,https://careers.adobe.com/us/en/job/R166482/Digital-Strategist,2026-04-02T00:00:00.000Z,Not Specified,General,2026-04-08 16:19:09
10,VDI Software Engineer,Software Engineer,Zoom,India,Full-time,On-site,Not Disclosed,https://careers.zoom.us/jobs/vdi-software-engineer-india,2026-03-27T00:00:00.000Z,Not Specified,Tech,2026-04-08 16:19:09
11,Mulesoft Developer - Customer Care Agent Servicing,Mulesoft Developer - Customer Care Agent Servicing,Ford Motor Private Limited,Chennai,Full-time,On-site,Not Disclosed,https://www.careers.ford.com/job/chennai/mulesoft-developer-customer-care-agent-servicing/48560/90510409728?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-08T00:00:00.000Z,Not Specified,General,2026-04-09 01:42:02
12,Regulatory Affairs Manager/Senior Manager-(EP),Regulatory Affairs Manager/Senior Manager-(Ep),Cencora,Noida,Full-time,On-site,Not Disclosed,https://careers.cencora.com/us/en/job/R265784/Regulatory-Affairs-Manager-Senior-Manager-EP?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-08T00:00:00.000Z,Senior,General,2026-04-09 01:42:02
